Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greenland,GRL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,750,1910,36490,41800,47880,52890,52800,53700,53753,45413,47988,52584,53940,50265,49606,42901,40341,37506,32745,28082,20709,16868,13892,6696,4374,3376,6493,6157,5927,5763,5675,6087,6389,6620,7487,10284,12549,16284,19128,22770,24559
Guam,GUM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,59,54,37,38,47,35,36,50,75,191,405,535,676,707,724,746,768,800,800,700,508,269,260,283,284,277
High income,HIC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53101,45705,205198,219402,156698,301762,351773,381258,359622,367926,346401,301754,315154,268363,244466,156721,128161,120370,113793,92437,81638,79755,80523,65456,56443,49417,38716,38461,39226,39103,40244
"Hong Kong SAR, China",HKG,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,202,102,47,39,17,10,5,,6,7,,8,9,9,10,16,14,18,24,25,33,15,11,11,5,20
Honduras,HND,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,5,18,21,41,450,1212,1218,1256,1243,1097,1066,904,783,675,606,485,536,1035,1236,1116,1165,1300,1967,2612,3299,4157,6847,10509,14424,18857,26351,34473
Heavily indebted poor countries (HIPC),HPC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11718333,11130997,9714970,9404502,9204830,8083939,6803564,5976327,5785203,5884953,6925065,6804380,5578786,5094182,5379707,5022510,4931377,5607729,5273614,5390387,5709547,5892739,6007760,6117190,6369464,6953390,6848916,7168392,7375253,7518215,7514701
Croatia,HRV,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168570,151689,76256,245572,310090,349307,338085,353721,335200,290283,274822,230193,215480,119154,93768,100429,97016,76479,65863,62653,62606,49755,40121,33452,26231,24869,24105,23793,23456
Haiti,HTI,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,1000,,,,300,3300,3800,5000,5000,5230,5440,6100,5120,5080,4699,3344,2092,1857,2483,3861,9800,13927,15119,15479,13539,8768,7564,7246,7722,7550,9209,13538,20834,22275,23059,24110,25886,33652,38559,38644,37147,34762,29671,28424,27517,26734,25659
Hungary,HUN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,3270,3270,3270,3270,3360,3490,220,210,170,150,140,50,,120,,763,744,728,607,430,435,381,329,3887,4359,5767,4734,3994,5014,4468,2349,3082,2670,1243,797,512,949,3515,3394,2747,3516,3117,3384,1612,1535,1435,1234,1085,1218,1264,1447,2909,3336,3927,4007,4617
IBRD only,IBD,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2661841,2942685,4096160,3738665,3843145,3777443,4145989,4017488,3821105,3640687,3231588,3170629,3564618,3133399,2795975,2465408,3737053,4635058,4079595,3897704,3753677,3457832,2653238,1948321,2114916,2061860,2006177,1880138,1844442,1914873,2063830
IDA & IBRD total,IBT,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14572624,14293113,14376307,13728786,13600727,12399080,11612655,10622769,10101909,10115940,10676388,10447482,9633929,8684284,8639087,7965255,9120128,10681207,9785756,9940921,10119307,9992664,10094784,11321487,14003856,15701620,16751088,19437082,19836854,19916303,20160919
IDA total,IDA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11910783,11350428,10280147,9990121,9757582,8621637,7466666,6605281,6280804,6475253,7444800,7276853,6069311,5550885,5843112,5499847,5383075,6046149,5706161,6043217,6365630,6534832,7441546,9373166,11888940,13639760,14744911,17556944,17992412,18001430,18097089
IDA blend,IDB,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617,714,1342,1878,43325,21143,96080,112243,87712,255984,174302,125549,124297,103124,108140,111962,99875,107656,116480,128275,136405,131169,139655,140232,492202,529034,391507,424205,497465,535476,599160
Indonesia,IDN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,1000,1000,1000,150,2200,1230,11020,11800,11340,9680,9301,7775,7168,6164,6829,7925,8727,9836,11365,8800,9054,9023,9152,8972,9907,16240,27919,34383,34722,20549,19338,18207,16882,16069,15514,14775,14393,13947,13056,12485,12148,12039,13037
IDA only,IDX,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11910166,11349714,10278805,9988243,9714257,8600494,7370586,6493038,6193092,6219269,7270498,7151304,5945014,5447761,5734972,5387885,5283200,5938493,5589681,5914942,6229225,6403663,7301891,9232934,11396738,13110726,14353404,17132739,17494947,17465954,17497929
Isle of Man,IMN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,197,406,1021,1491,3266,5011,7546,8918,9663,9846,11397,11560,14349,13703,13335,16275,17797,20455,19551,19496,17766,16226,14245,11032,10431,9882,7288,7926,9586,11787,12428
Not classified,INX,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,5,5,6,5,23,5,9,7,7,7,7,7,7,7,5,,,,,5
"Iran, Islamic Rep.",IRN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,48,803,2480,5577,5244,88245,87921,10992,58259,52798,75889,130366,128781,115516,121288,112360,104122,93986,89967,86845,88266,92490,138362,122530,115171,99430,102479,68398,69051,72772,68786,72366,75934,75061,82202,84950,94103,118640,129941,128998,134767
Iraq,IRQ,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,2700,2700,,,,,,,,,560,31000,31098,66589,103766,103721,101724,401503,400745,410818,508468,507986,1133805,1321853,1343824,771074,749833,718717,714727,707342,675030,642875,526165,530508,422504,368577,311889,262302,1450908,2309246,1903516,1785215,1683576,1428306,746204,401461,369960,264086,316056,362536,372332,336274,333418
Iceland,ISL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,13,11,8,10,32,10,10,5,5,,,,,,,5,5,5,10
Israel,ISR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,14,28,37,114,888,937,1121,988,832,473,414,361,561,626,669,624,876,1539,1486,1298,1290,1323,1326,1026,967,787,487,469,492,452,398
Italy,ITA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,120,109,112,76,49,46,36,223,208,192,219,106,84,57,42,45,57,65,64,63,69,49,52,69,76,72
Jamaica,JAM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,11,18,21,26,33,37,37,147,260,350,489,661,766,825,908,1055,1248,1404,1501,1682,1857,1998,2224,2448,2529,2518
Jordan,JOR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,5,105,5,5,7,14,56,114,183,239,440,511,707,720,897,970,915,773,1280,1149,1158,1778,1592,1778,1883,2111,2250,2244,2363,1622,1711,1836,1919,2119,2426,2313,2489
Japan,JPN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,5,5,14,17,19,10,166,519,183,148,149,176,173,154,257,140,53,44,42,39,40
Kazakhstan,KAZ,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,137,40163,40772,20458,9059,2537,2803,6317,6563,6124,4321,7374,5232,4825,3741,3631,3497,3567,2114,2219,2263,2366,2406,2520,2757,2776
Kenya,KEN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,90,,1200,80,80,,,,,,,,,,,7,31,61,83,8772,9320,9390,9563,6037,6131,2367,2551,3089,3159,3842,4638,5356,7544,9682,9609,8585,8731,8946,8580,8546,7902,7526,7567,7480,7705,7452
Kyrgyz Republic,KGZ,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,17118,16321,7450,4003,747,687,2952,3142,3286,3127,2493,2257,2526,2611,2748,3163,3490,2299,2449,2498,2571,2771,2934,2963,2896
Cambodia,KHM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,57000,55000,35000,,18830,17200,76710,165120,51100,192843,135077,123398,91115,72468,67518,54848,48589,97758,75725,54364,43166,28849,9751,8536,61224,62240,103239,76575,38318,36851,34756,33451,31404,18109,17804,17963,17700,17250,17022,16308,15201,14016,13738,13066,12801,12428,12238,12139,11986,11901
Kiribati,KIR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,31,31,39,36,36,31,31,31,34,21,5,,,,,,
St. Kitts and Nevis,KNA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,10,7,10,12,20,25,49,51,58,57,54
"Korea, Rep.",KOR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,17,29,40,50,63,72,69,83,244,236,269,266,1333,1183,1099,567,578,508,555,495,478,346,243,239,274,180,156
Kuwait,KWT,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,49,77,91,758,764,854,824,827,988,688,696,705,615,391,374,610,741,847,936,986,1112,1189,971,974,1076,1013,1097,1251,1300,1442
Latin America & Caribbean (excluding high income),LAC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155356,159999,157834,140963,151887,140659,135923,130066,118298,109436,81959,83756,92677,88800,93363,113875,158750,618336,439568,454714,462230,474481,481026,486640,453210,439142,411685,306186,268363,344704,365704
Lao PDR,LAO,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,55510,62720,78970,119180,128770,105256,89990,80588,85043,86673,99303,91214,78894,135866,133496,135634,122328,96158,74500,54895,58197,46908,37369,29018,21393,16090,12625,11233,10360,16114,24441,26445,10012,8596,8397,8412,8086,7981,7736,7476,7359,7229,7056,6943,6757,6681
Lebanon,LBN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,12590,27270,30060,33140,630,,439,2197,6993,8501,10257,10629,15649,13513,10888,10228,9782,7677,10208,8754,26313,24929,19854,18325,12249,13089,12966,16250,15864,15004,15100,3809,4262,4353,4719,5302,5621,5647,5495
Liberia,LBR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,735687,673433,520914,704048,797834,744627,783992,493324,365390,294685,266926,244603,275414,353340,335466,231136,160543,91540,75221,71601,70134,66780,23428,17548,13561,9972,6558,6039,5508,5365,5237
Libya,LBY,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,205,226,259,275,291,327,304,250,659,653,579,841,687,595,669,622,271,266,432,563,603,877,1443,1553,1696,1556,1557,1939,2068,2189,2297,4372,5234,3298,4187,6077,8831,11205,13868,16033,17595
St. Lucia,LCA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,12,9,12,16,32,96,163,227,288,312,334,432,567,711,921,1011,993,995,1025,843,731
Latin America & Caribbean,LCN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170746,174606,172312,156527,168124,155698,149513,140554,125968,111589,83363,85126,95013,91058,95934,117605,163736,624869,446848,462724,470611,483996,491192,496493,462707,448051,420669,317028,291071,439724,538872
Least developed countries: UN classification,LDC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12258453,11676788,10465754,10198527,9888321,8741162,7447530,6620964,6403899,6643817,7738359,7612688,6279215,5640401,5841632,5490504,5434787,6076718,5703965,5993467,6276897,6329252,6458032,6659559,7414993,8143117,8759184,10753182,10766888,10765040,10716437
Low income,LIC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11534224,10975628,9570612,9275707,9063719,7934913,6655153,5821098,5646152,5778408,6832819,6717320,5471036,4979721,5275997,4911542,4802886,5487826,5131604,5252203,5547313,5614506,6578179,8472688,10654272,12400744,13640385,15751892,16125620,16153531,16160699
Liechtenstein,LIE,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,160,315,219,3388,7692,208271,209349,128115,91837,114454,107587,109576,122277,114971,116698,124156,122414,133240,122005,114050,108132,116948,134945,137742,145712,141065,136600,132718,123075,121991,121427,117472,115632,113955,110341,142716
Lower middle income,LMC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611270,1699608,1918635,1890974,1899501,1813143,1922665,1869390,1762923,1860891,1845930,2061419,2291351,2009899,1879657,1882458,1860108,1713698,1715101,1671715,1677722,1772921,1606817,1578816,2154959,2253234,2059414,2699347,2737448,2673783,2784713
Low & middle income,LMY,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14553585,14339587,14295305,13652002,13577643,12216030,11381655,10357373,9855317,9882727,10469633,10520759,9787087,8803540,8776158,8191651,9375941,10920657,10027874,9957973,10144991,10021919,10124368,11365405,14059242,15764242,16820354,19506980,19896641,19900949,20074194
Lesotho,LSO,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,60,,,110,310,,90,160,160,70,80,,,,,,,,5,5,5,,55,,,,,,,,,5,5,5,,5,5,5,5,5,5,5,10,16,16,5,6,6,6,11
Late-demographic dividend,LTE,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927021,987561,1596693,1637938,1679696,1540448,1638050,1621499,1582587,1421955,1153035,1144963,1483550,1427522,1349097,1305779,1284154,1544449,1426428,1490076,1478797,1452622,1444897,1225141,1196556,1165912,1138669,1021364,975189,1008728,1082707
Lithuania,LTU,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,10,15,63,107,659,650,276,251,155,210,1365,1535,1470,1440,936,461,486,496,508,523,487,217,182,143,74,73,66,61,68
Luxembourg,LUX,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
Latvia,LVA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,95,158,1956,1916,1014,903,484,610,3080,3173,2822,2428,1424,660,765,787,712,706,662,228,206,187,165,162,152,144,153
"Macao SAR, China",MAC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,13,13,18,8,8,8,8,8,8,8,,,5,5,5,,,,
St. Martin (French part),MAF,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,14,46,92,105,179,300,302,309,351,373,394,357,1266,1291,1313,2914,4699,4036,3520,2277,2276,2305,2394,1290,1523,1760,2240,3089,3873,4642,4489
Monaco,MCO,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5
Moldova,MDA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,455,524,5826,5137,2750,2405,2650,3731,10121,11141,11936,12065,11680,4913,5551,5928,6204,6261,6148,2210,2230,2289,2316,2339,2397,2427,2221
Madagascar,MDG,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,76,74,66,53,51,36,52,86,132,201,258,282,278,271,266,287,299,298,279,285,292,292,298,298,283
Maldives,MDV,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,15,15,15,16,21,22,30,32,39,58,64,74,75,83
Middle East & North Africa,MEA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228222,1530362,1584150,985831,1019334,950041,945259,916304,878676,864220,761559,1005807,1063473,915026,844370,776846,1943083,2779044,2372262,2017327,1908778,1661560,1696345,3074835,4475952,5377343,6098282,6969777,7351474,7282553,7361625
Mexico,MEX,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,361,520,663,1011,1358,1288,1592,1668,1650,1740,2309,3301,5568,6160,6433,6809,7471,8438,9396,10672,11340,10387,11679,12870,14621,15408
Marshall Islands,MHL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,7,7,7,7
Middle income,MIC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3019361,3363959,4724693,4376295,4513924,4281117,4726502,4536275,4209165,4104319,3636814,3803439,4316051,3823819,3500161,3280109,4573055,5432831,4896270,4705770,4597678,4407413,3546189,2892717,3404970,3363498,3179969,3755088,3771021,3747418,3913495
North Macedonia,MKD,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,346,12881,13039,12742,1934,2091,2175,12192,8102,5981,5106,8603,7937,8072,7513,7921,7880,7677,7582,1622,1752,1769,1730,1653,1721,1784,1596
Mali,MLI,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14705,71190,98575,172903,77218,55192,18014,3699,381,364,311,525,456,476,512,586,4489,1751,2927,3659,4289,149930,152812,139249,154202,156415,150305,158267,164466,164601
Malta,MLT,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,18,14,15,23,17,7,7,6,,,25,10,10,10,5,5,5,5,,,,,5,5,5
Myanmar,MMR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,5700,,,,,,160000,,,,,,,,,,7,,24,40052,245127,281571,204512,152301,143019,135771,133408,131661,137121,145849,148493,151370,160997,164851,202817,191308,184410,406667,415662,414615,415363,479594,479006,451804,490285,1156742,1145149,1076825,1103299
Middle East & North Africa (excluding high income),MNA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228123,1530233,1583983,985562,1017373,947957,942933,914012,876512,862360,760249,1004645,1061989,913462,842951,775615,1940562,2775546,2368768,2013842,1905168,1657539,1691955,3071865,4472919,5374224,6095221,6966288,7347453,7278285,7356915
Montenegro,MNE,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,555,1280,2578,3243,3699,4052,542,601,646,713,704,715,659,545
Mongolia,MNG,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,17,25,25,57,277,324,443,655,866,1103,1329,1490,1720,1982,2111,2054,2162,2198,2282,2227,2249,2364,2290
Northern Mariana Islands,MNP,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,10000,17000,20800,27750,33750,43120,60070,60410,64400,69800,80960,34750,580,120,130,370,120,5170,20200,50200,51200,72250,193550,635000,921237,1120756,1247991,1316635,1445474,1172548,234495,125561,34656,33652,56,26,24,45,129,106,94,93,216,213,198,130,120,147,155,51,55,55,48,48,57,77,91
Mauritania,MRT,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48236,65995,79874,79594,67887,68039,84310,83231,70294,70221,29942,29742,29850,30130,30518,31104,31650,33420,33095,45592,39134,37721,39919,33747,34239,34103,34656,36263,36525,37050,37423,37941
Mauritius,MUS,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,,12,5,29,30,39,54,15,22,75,67,25,21,25,36,57,72,91,101,106,130,156,178,191
Malawi,MWI,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,150,300,140,190,250,250,250,100,80,30350,60,1050,310,460,420,70,240,440,440,450,440,450,5,5,55,50,50,43,60,37,40,37,27,34,34,26,48,60,95,98,112,93,103,126,168,216,273,323,356,429,427,434,472,514,524
Malaysia,MYS,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,83,82,105,88,87,83,79,77,117,235,287,388,575,611,607,530,550,531,523,478,458,435,453,540,817,906,1078
North America,NAC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,15,369,248,151,87,66,57,198,225,435,455,508,796,1447,2694,2226,2464,3105,3883,4575,4849,5069,4897,378,385,414,369,454
Namibia,NAM,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,180,230,1330,840,900,900,1000,3410,3420,3970,9020,12930,35760,40580,55620,74520,75170,75110,77550,76916,76966,75726,76591,3704,532,204,17,133,65,12,13,,1900,702,2307,2295,1298,1289,1307,1221,1196,1123,981,918,1013,1067,1097,1138,1250,1272,1363,1368,1331,459,467
New Caledonia,NCL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22006,22306,22019,10289,10359,2783,418,508,483,478,829,716,676,642,803,817,789,812,794,805,824,674,728,1383,1230,1363,2715,3063,18874
Nigeria,NGA,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,51100,2850,,,,,,,,,,,,,,,,,,5,15,15,15,22,75,95,587,1942,4751,3043,3998,4440,5735,6077,24559,24414,23882,22123,13242,13898,14170,15609,15645,17141,18017,31173,90936,167973,229291,238977,276834,295578,352953
Nicaragua,NIC,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,144800,16600,960,2500,18970,23520,35020,52650,67550,68540,86563,97698,52617,46789,44275,33056,28596,23936,22818,22495,21390,20572,5070,4397,4049,3984,1822,1463,1827,1899,1533,1473,1426,1464,1526,1530,1580,1469,1409,1467,1671,4376,8711
Netherlands,NLD,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,86,97,77,57,29,14,5,32,38,45,155,41,44,46,44,52,61,69,59,63,64,32,39,41,55,61
Norway,NOR,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,12,,,,,,5,5,15,15,10,10,15,5,5,5
Nepal,NPL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27,44,49,95,178,227,300,899,1232,1414,2061,2651,3365,4190,5101,5883,6847,7603,8100,8547,9052,8365,8414,8589,8033,7492
Nauru,NRU,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,5,,,5,5,5,,,,,,,,,,,,5
New Zealand,NZL,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,12,8,9,11,13,19,15,14,16,25,34,34,34,35
OECD members,OED,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58105,52126,46950,85179,108856,101531,93159,80898,69611,62515,67920,77254,265274,261832,251819,270085,335784,796891,608492,556029,562295,557017,552133,485887,448470,423991,388455,274313,230886,297455,310255
Oman,OMN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,8,8,8,8,5,5,19,5,16,10,37,44,55,63,62,58,62,20,25,36,35,39,42,42,52
Other small states,OSS,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5666,14929,80801,91008,127848,125117,128176,120125,121820,277928,238239,189482,146153,109565,110651,112803,114063,116461,111780,97619,84762,68728,53707,40590,35037,33019,30896,30754,33354,33126,25622
